"po_id";"po_date";"vendor_id";"vendor_name";"vendor_location";"vendor_rating";"item_id";"item_name";"category";"qty_ordered";"qty_received";"unit_cost";"expected_delivery_date";"delivery_date";"lead_time_days";"on_time";"return_qty";"defect_flag";"invoice_amount";"grn_date";"invoice_status";"purchase_type"
"PO00011";"2025-08-22";"V037";"Vendor K_37";"Delhi";3.26;"I0064";"Item_64";"Packaging";297;297;1557.76;"2025-09-05";"2025-08-31";9;1;0;0;462654.72;"2025-09-01";"Disputed";"Consignment"
"PO00012";"2024-08-01";"V034";"Vendor H_34";"Hyderabad";4.87;"I0081";"Item_81";"Spare Parts";479;479;723.62;"2024-08-19";"2024-08-08";7;1;0;0;346613.98;"2024-08-09";"Posted";"Spot"
"PO00013";"2024-02-10";"V009";"Vendor I_9";"Delhi";4.0;"I0172";"Item_172";"Chemicals";331;331;1067.87;"2024-02-20";"2024-02-20";10;1;0;0;353464.97;"2024-02-20";"Posted";"Spot"
"PO00014";"2024-09-28";"V037";"Vendor K_37";"Delhi";3.26;"I0026";"Item_26";"Finished Goods";38;38;1257.98;"2024-10-09";"2024-10-16";18;0;0;0;47803.24;"2024-10-16";"Pending";"Regular"
"PO00015";"2025-06-19";"V016";"Vendor P_16";"Hyderabad";2.96;"I0095";"Item_95";"Spare Parts";146;111;512.29;"2025-07-09";"2025-07-10";21;0;0;0;56864.19;"2025-07-12";"Disputed";"Consignment"
"PO00016";"2023-01-09";"V043";"Vendor Q_43";"Chennai";2.59;"I0142";"Item_142";"Packaging";154;154;1642.39;"2023-01-21";"2023-01-22";13;0;0;0;252928.06;"2023-01-22";"Pending";"Regular"
"PO00017";"2025-06-30";"V007";"Vendor G_7";"Delhi";2.65;"I0191";"Item_191";"Raw Material";284;265;1628.46;"2025-07-24";"2025-08-04";35;0;0;0;431541.9;"2025-08-06";"Pending";"Regular"
"PO00018";"2024-12-04";"V041";"Vendor O_41";"Kolkata";2.81;"I0068";"Item_68";"Electronics";259;259;396.99;"2024-12-10";"2024-12-11";7;0;0;0;102820.41;"2024-12-11";"Posted";"Consignment"
"PO00019";"2024-03-09";"V018";"Vendor R_18";"Lucknow";3.81;"I0012";"Item_12";"Finished Goods";2;2;598.68;"2024-03-19";"2024-03-09";0;1;0;0;1197.36;"2024-03-10";"Posted";"Consignment"
"PO00020";"2024-03-28";"V036";"Vendor J_36";"Delhi";4.52;"I0181";"Item_181";"Chemicals";219;219;1390.38;"2024-04-09";"2024-04-14";17;0;0;0;304493.22;"2024-04-16";"Posted";"Consignment"
"PO00021";"2023-02-06";"V024";"Vendor X_24";"Hyderabad";3.42;"I0150";"Item_150";"Packaging";283;274;1519.29;"2023-02-17";"2023-02-15";9;1;0;0;416285.46;"2023-02-16";"Posted";"Spot"
"PO00022";"2023-08-04";"V044";"Vendor R_44";"Mumbai";4.77;"I0064";"Item_64";"Packaging";342;292;1496.92;"2023-08-20";"2023-08-22";18;0;0;0;437100.64;"2023-08-23";"Disputed";"Consignment"
"PO00023";"2023-06-08";"V016";"Vendor P_16";"Hyderabad";2.96;"I0042";"Item_42";"Electronics";500;500;1498.05;"2023-06-23";"2023-07-03";25;0;0;0;749025.0;"2023-07-04";"Posted";"Regular"
"PO00024";"2025-01-24";"V022";"Vendor V_22";"Ahmedabad";2.85;"I0106";"Item_106";"Electronics";411;411;508.17;"2025-02-01";"2025-01-29";5;1;0;0;208857.87;"2025-01-29";"Pending";"Regular"
"PO00025";"2025-03-17";"V045";"Vendor S_45";"Jaipur";3.15;"I0028";"Item_28";"Electronics";196;196;150.55;"2025-03-29";"2025-04-09";23;0;0;0;29507.8;"2025-04-09";"Posted";"Spot"
"PO00026";"2023-12-25";"V020";"Vendor T_20";"Ahmedabad";3.23;"I0059";"Item_59";"Electronics";115;102;409.17;"2023-12-26";"2023-12-25";0;1;0;0;41735.34;"2023-12-26";"Posted";"Spot"
"PO00027";"2023-12-26";"V042";"Vendor P_42";"Lucknow";3.74;"I0131";"Item_131";"Chemicals";205;205;621.2;"2023-12-30";"2023-12-26";0;1;0;0;127346.0;"2023-12-27";"Posted";"Regular"
"PO00028";"2025-06-17";"V017";"Vendor Q_17";"Ahmedabad";3.26;"I0046";"Item_46";"Finished Goods";298;298;1027.15;"2025-06-28";"2025-06-29";12;0;0;0;306090.7;"2025-06-29";"Disputed";"Spot"
"PO00029";"2023-12-20";"V047";"Vendor U_47";"Delhi";3.28;"I0081";"Item_81";"Spare Parts";224;224;809.03;"2024-01-02";"2024-01-16";27;0;0;0;181222.72;"2024-01-17";"Disputed";"Regular"
"PO00030";"2023-09-18";"V003";"Vendor C_3";"Chennai";4.33;"I0182";"Item_182";"Packaging";224;189;1118.29;"2023-09-24";"2023-09-27";9;0;0;0;211356.81;"2023-09-29";"Disputed";"Consignment"
"PO00031";"2023-07-21";"V024";"Vendor X_24";"Hyderabad";3.42;"I0111";"Item_111";"Packaging";36;36;646.31;"2023-08-02";"2023-08-02";12;1;0;0;23267.16;"2023-08-04";"Pending";"Consignment"
"PO00032";"2025-05-18";"V008";"Vendor H_8";"Ahmedabad";4.67;"I0185";"Item_185";"Raw Material";461;461;408.79;"2025-05-28";"2025-06-01";14;0;0;0;188452.19;"2025-06-02";"Pending";"Spot"
"PO00033";"2024-12-14";"V019";"Vendor S_19";"Mumbai";3.58;"I0142";"Item_142";"Packaging";66;66;1735.22;"2024-12-24";"2025-01-06";23;0;0;0;114524.52;"2025-01-07";"Disputed";"Consignment"
"PO00034";"2025-07-13";"V012";"Vendor L_12";"Mumbai";4.92;"I0158";"Item_158";"Chemicals";292;292;1348.58;"2025-07-21";"2025-07-25";12;0;0;0;393785.36;"2025-07-25";"Pending";"Spot"
"PO00035";"2023-08-04";"V028";"Vendor B_28";"Mumbai";3.79;"I0149";"Item_149";"Chemicals";311;311;2020.93;"2023-08-14";"2023-08-15";11;0;0;0;628509.23;"2023-08-16";"Disputed";"Regular"
"PO00036";"2024-06-07";"V031";"Vendor E_31";"Kolkata";4.02;"I0189";"Item_189";"Raw Material";87;87;1224.19;"2024-06-16";"2024-06-21";14;0;0;0;106504.53;"2024-06-23";"Disputed";"Consignment"
"PO00037";"2023-12-10";"V006";"Vendor F_6";"Bengaluru";2.89;"I0193";"Item_193";"Finished Goods";121;121;1620.89;"2023-12-28";"2024-01-06";27;0;0;0;196127.69;"2024-01-06";"Posted";"Regular"
"PO00038";"2023-02-17";"V016";"Vendor P_16";"Hyderabad";2.96;"I0122";"Item_122";"Finished Goods";313;313;47.88;"2023-03-06";"2023-03-10";21;0;0;0;14986.44;"2023-03-11";"Disputed";"Consignment"
"PO00039";"2023-07-19";"V046";"Vendor T_46";"Ahmedabad";4.16;"I0179";"Item_179";"Raw Material";197;197;1668.44;"2023-08-01";"2023-07-28";9;1;0;0;328682.68;"2023-07-30";"Disputed";"Regular"
"PO00040";"2025-07-03";"V049";"Vendor W_49";"Delhi";3.87;"I0198";"Item_198";"Electronics";454;426;2111.63;"2025-07-14";"2025-07-15";12;0;0;0;899554.38;"2025-07-17";"Disputed";"Spot"
"PO00041";"2023-02-21";"V036";"Vendor J_36";"Delhi";4.52;"I0064";"Item_64";"Packaging";470;470;1556.03;"2023-02-28";"2023-03-07";14;0;0;0;731334.1;"2023-03-08";"Disputed";"Consignment"
"PO00042";"2024-07-26";"V039";"Vendor M_39";"Delhi";4.21;"I0082";"Item_82";"Raw Material";487;487;510.4;"2024-08-05";"2024-08-12";17;0;0;0;248564.8;"2024-08-14";"Disputed";"Spot"
"PO00043";"2025-04-30";"V036";"Vendor J_36";"Delhi";4.52;"I0115";"Item_115";"Electronics";460;460;203.96;"2025-05-08";"2025-05-10";10;0;0;0;93821.6;"2025-05-11";"Pending";"Regular"
"PO00044";"2025-05-10";"V041";"Vendor O_41";"Kolkata";2.81;"I0071";"Item_71";"Finished Goods";393;393;1812.07;"2025-05-29";"2025-05-29";19;1;0;0;712143.51;"2025-05-29";"Pending";"Spot"
"PO00045";"2023-03-21";"V046";"Vendor T_46";"Ahmedabad";4.16;"I0074";"Item_74";"Spare Parts";121;121;216.64;"2023-03-31";"2023-04-05";15;0;0;0;26213.44;"2023-04-07";"Posted";"Regular"
"PO00046";"2023-06-04";"V015";"Vendor O_15";"Hyderabad";2.95;"I0099";"Item_99";"Raw Material";356;342;95.94;"2023-06-19";"2023-06-18";14;1;0;0;32811.48;"2023-06-19";"Pending";"Consignment"
"PO00047";"2024-04-22";"V027";"Vendor A_27";"Chennai";3.0;"I0016";"Item_16";"Spare Parts";106;106;1237.31;"2024-05-13";"2024-05-19";27;0;0;0;131154.86;"2024-05-21";"Disputed";"Regular"
"PO00048";"2025-05-27";"V049";"Vendor W_49";"Delhi";3.87;"I0148";"Item_148";"Raw Material";195;195;1767.48;"2025-06-04";"2025-05-28";1;1;0;0;344658.6;"2025-05-29";"Pending";"Spot"
"PO00049";"2024-07-05";"V048";"Vendor V_48";"Pune";3.8;"I0189";"Item_189";"Raw Material";280;280;1361.49;"2024-07-20";"2024-07-24";19;0;0;0;381217.2;"2024-07-25";"Posted";"Spot"
"PO00050";"2024-03-22";"V032";"Vendor F_32";"Chennai";2.93;"I0008";"Item_8";"Raw Material";200;200;434.77;"2024-04-05";"2024-03-31";9;1;0;0;86954.0;"2024-04-01";"Disputed";"Regular"
"PO00051";"2025-05-10";"V030";"Vendor D_30";"Pune";2.62;"I0033";"Item_33";"Packaging";319;319;579.76;"2025-05-16";"2025-05-27";17;0;0;0;184943.44;"2025-05-29";"Disputed";"Consignment"
"PO00052";"2023-01-28";"V006";"Vendor F_6";"Bengaluru";2.89;"I0165";"Item_165";"Electronics";220;190;1593.24;"2023-02-08";"2023-02-06";9;1;0;0;302715.6;"2023-02-07";"Pending";"Spot"
"PO00053";"2023-08-05";"V030";"Vendor D_30";"Pune";2.62;"I0084";"Item_84";"Raw Material";173;173;608.82;"2023-08-22";"2023-08-30";25;0;0;0;105325.86;"2023-08-31";"Pending";"Regular"
"PO00054";"2024-04-26";"V002";"Vendor B_2";"Mumbai";4.88;"I0192";"Item_192";"Raw Material";277;254;1679.96;"2024-05-06";"2024-05-03";7;1;0;0;426709.84;"2024-05-03";"Disputed";"Regular"
"PO00055";"2025-02-11";"V002";"Vendor B_2";"Mumbai";4.88;"I0064";"Item_64";"Packaging";103;103;1410.76;"2025-02-22";"2025-02-27";16;0;0;0;145308.28;"2025-02-27";"Posted";"Spot"
"PO00056";"2024-11-16";"V008";"Vendor H_8";"Ahmedabad";4.67;"I0145";"Item_145";"Raw Material";486;486;598.68;"2024-11-20";"2024-11-16";0;1;0;0;290958.48;"2024-11-17";"Posted";"Consignment"
"PO00057";"2024-09-13";"V048";"Vendor V_48";"Pune";3.8;"I0184";"Item_184";"Packaging";59;59;1083.02;"2024-09-22";"2024-09-30";17;0;0;0;63898.18;"2024-10-01";"Posted";"Consignment"
"PO00058";"2023-01-27";"V020";"Vendor T_20";"Ahmedabad";3.23;"I0148";"Item_148";"Raw Material";347;347;1570.93;"2023-02-10";"2023-02-19";23;0;0;0;545112.71;"2023-02-21";"Posted";"Regular"
"PO00059";"2024-08-29";"V045";"Vendor S_45";"Jaipur";3.15;"I0161";"Item_161";"Chemicals";125;75;1076.93;"2024-09-10";"2024-09-10";12;1;0;0;80769.75;"2024-09-12";"Disputed";"Regular"
"PO00060";"2025-03-26";"V037";"Vendor K_37";"Delhi";3.26;"I0011";"Item_11";"Packaging";178;178;776.1;"2025-04-09";"2025-04-04";9;1;0;0;138145.8;"2025-04-04";"Disputed";"Consignment"
"PO00061";"2023-12-16";"V001";"Vendor A_1";"Delhi";3.44;"I0108";"Item_108";"Raw Material";422;422;1638.23;"2023-12-31";"2024-01-01";16;0;0;0;691333.06;"2024-01-02";"Disputed";"Spot"
"PO00062";"2024-12-25";"V010";"Vendor J_10";"Lucknow";4.27;"I0112";"Item_112";"Spare Parts";91;91;1220.68;"2025-01-07";"2025-01-05";11;1;0;0;111081.88;"2025-01-06";"Disputed";"Consignment"
"PO00063";"2025-03-04";"V031";"Vendor E_31";"Kolkata";4.02;"I0120";"Item_120";"Raw Material";224;224;1087.55;"2025-03-15";"2025-03-21";17;0;0;0;243611.2;"2025-03-22";"Posted";"Regular"
"PO00064";"2023-10-13";"V029";"Vendor C_29";"Bengaluru";3.98;"I0063";"Item_63";"Spare Parts";385;385;2135.19;"2023-10-25";"2023-10-20";7;1;0;0;822048.15;"2023-10-21";"Pending";"Regular"
"PO00065";"2024-05-21";"V021";"Vendor U_21";"Hyderabad";4.03;"I0047";"Item_47";"Raw Material";250;250;1198.1;"2024-06-10";"2024-06-12";22;0;0;0;299525.0;"2024-06-13";"Pending";"Consignment"
"PO00066";"2024-12-19";"V018";"Vendor R_18";"Lucknow";3.81;"I0143";"Item_143";"Chemicals";6;6;1907.64;"2025-01-08";"2025-01-03";15;1;0;0;11445.84;"2025-01-03";"Disputed";"Spot"
"PO00067";"2024-05-15";"V036";"Vendor J_36";"Delhi";4.52;"I0195";"Item_195";"Chemicals";124;124;41.79;"2024-05-25";"2024-05-31";16;0;0;0;5181.96;"2024-06-01";"Pending";"Regular"
"PO00068";"2023-04-06";"V019";"Vendor S_19";"Mumbai";3.58;"I0057";"Item_57";"Finished Goods";208;208;856.45;"2023-04-15";"2023-04-11";5;1;0;0;178141.6;"2023-04-13";"Pending";"Spot"
"PO00069";"2024-07-20";"V034";"Vendor H_34";"Hyderabad";4.87;"I0089";"Item_89";"Spare Parts";218;218;725.63;"2024-08-02";"2024-07-22";2;1;0;0;158187.34;"2024-07-23";"Disputed";"Spot"
"PO00070";"2023-10-05";"V020";"Vendor T_20";"Ahmedabad";3.23;"I0065";"Item_65";"Finished Goods";119;106;1109.53;"2023-10-20";"2023-10-31";26;0;0;0;117610.18;"2023-11-02";"Disputed";"Consignment"
"PO00071";"2023-07-09";"V013";"Vendor M_13";"Mumbai";4.58;"I0056";"Item_56";"Electronics";379;379;477.17;"2023-07-21";"2023-07-27";18;0;0;0;180847.43;"2023-07-29";"Disputed";"Spot"
"PO00072";"2023-04-13";"V013";"Vendor M_13";"Mumbai";4.58;"I0076";"Item_76";"Spare Parts";117;117;772.9;"2023-04-18";"2023-04-29";16;0;0;0;90429.3;"2023-05-01";"Disputed";"Regular"
"PO00073";"2023-10-08";"V003";"Vendor C_3";"Chennai";4.33;"I0014";"Item_14";"Packaging";284;284;813.4;"2023-10-18";"2023-10-16";8;1;0;0;231005.6;"2023-10-18";"Pending";"Regular"
"PO00074";"2025-06-12";"V001";"Vendor A_1";"Delhi";3.44;"I0147";"Item_147";"Spare Parts";146;146;1590.17;"2025-06-18";"2025-06-26";14;0;0;0;232164.82;"2025-06-26";"Posted";"Spot"
"PO00075";"2025-08-21";"V031";"Vendor E_31";"Kolkata";4.02;"I0030";"Item_30";"Raw Material";421;389;274.5;"2025-09-02";"2025-09-04";14;0;0;0;106780.5;"2025-09-06";"Disputed";"Regular"
"PO00076";"2023-06-05";"V010";"Vendor J_10";"Lucknow";4.27;"I0145";"Item_145";"Raw Material";486;486;678.24;"2023-06-09";"2023-06-05";0;1;0;0;329624.64;"2023-06-05";"Disputed";"Spot"
"PO00077";"2024-09-12";"V039";"Vendor M_39";"Delhi";4.21;"I0159";"Item_159";"Spare Parts";116;116;17.4;"2024-09-24";"2024-09-26";14;0;0;0;2018.4;"2024-09-27";"Pending";"Consignment"
"PO00078";"2024-03-15";"V020";"Vendor T_20";"Ahmedabad";3.23;"I0146";"Item_146";"Electronics";318;270;810.61;"2024-03-28";"2024-03-28";13;1;0;0;218864.7;"2024-03-28";"Disputed";"Regular"
"PO00079";"2023-09-28";"V043";"Vendor Q_43";"Chennai";2.59;"I0021";"Item_21";"Packaging";81;81;1671.59;"2023-10-12";"2023-10-02";4;1;0;0;135398.79;"2023-10-02";"Posted";"Spot"
"PO00080";"2024-04-06";"V045";"Vendor S_45";"Jaipur";3.15;"I0153";"Item_153";"Spare Parts";241;241;294.74;"2024-04-20";"2024-04-23";17;0;0;0;71032.34;"2024-04-25";"Pending";"Consignment"
"PO00081";"2025-05-30";"V030";"Vendor D_30";"Pune";2.62;"I0019";"Item_19";"Electronics";352;352;145.47;"2025-06-18";"2025-06-27";28;0;0;0;51205.44;"2025-06-29";"Disputed";"Consignment"
"PO00082";"2025-04-03";"V013";"Vendor M_13";"Mumbai";4.58;"I0109";"Item_109";"Finished Goods";59;59;462.35;"2025-04-14";"2025-04-10";7;1;0;0;27278.65;"2025-04-11";"Posted";"Regular"
"PO00083";"2023-03-03";"V011";"Vendor K_11";"Pune";2.55;"I0079";"Item_79";"Packaging";305;305;23.98;"2023-03-18";"2023-03-27";24;0;0;0;7313.9;"2023-03-28";"Pending";"Regular"
"PO00084";"2024-04-24";"V045";"Vendor S_45";"Jaipur";3.15;"I0078";"Item_78";"Packaging";359;359;1904.88;"2024-05-16";"2024-05-27";33;0;0;0;683851.92;"2024-05-29";"Pending";"Spot"
"PO00085";"2023-03-24";"V039";"Vendor M_39";"Delhi";4.21;"I0011";"Item_11";"Packaging";456;456;872.0;"2023-03-31";"2023-03-29";5;1;0;0;397632.0;"2023-03-30";"Posted";"Regular"
"PO00086";"2023-08-23";"V044";"Vendor R_44";"Mumbai";4.77;"I0148";"Item_148";"Raw Material";301;301;1541.46;"2023-09-04";"2023-09-12";20;0;0;0;463979.46;"2023-09-14";"Pending";"Consignment"
"PO00087";"2023-02-11";"V049";"Vendor W_49";"Delhi";3.87;"I0194";"Item_194";"Raw Material";90;90;792.33;"2023-02-21";"2023-02-19";8;1;0;0;71309.7;"2023-02-20";"Posted";"Consignment"
"PO00088";"2024-03-22";"V041";"Vendor O_41";"Kolkata";2.81;"I0126";"Item_126";"Packaging";497;474;305.0;"2024-04-09";"2024-03-29";7;1;0;0;144570.0;"2024-03-30";"Disputed";"Regular"
"PO00089";"2025-05-28";"V011";"Vendor K_11";"Pune";2.55;"I0085";"Item_85";"Packaging";211;211;1825.41;"2025-06-15";"2025-06-14";17;1;0;0;385161.51;"2025-06-15";"Disputed";"Regular"
"PO00090";"2024-04-10";"V006";"Vendor F_6";"Bengaluru";2.89;"I0081";"Item_81";"Spare Parts";130;130;802.38;"2024-04-30";"2024-04-30";20;1;0;0;104309.4;"2024-05-01";"Disputed";"Regular"
"PO00091";"2024-11-04";"V035";"Vendor I_35";"Kolkata";4.91;"I0119";"Item_119";"Chemicals";212;178;88.31;"2024-11-17";"2024-11-19";15;0;0;0;15719.18;"2024-11-20";"Disputed";"Spot"
"PO00092";"2025-02-17";"V004";"Vendor D_4";"Hyderabad";4.0;"I0053";"Item_53";"Raw Material";137;137;721.28;"2025-02-21";"2025-02-21";4;1;0;0;98815.36;"2025-02-22";"Disputed";"Spot"
"PO00093";"2023-05-05";"V002";"Vendor B_2";"Mumbai";4.88;"I0162";"Item_162";"Electronics";312;312;1369.87;"2023-05-14";"2023-05-16";11;0;0;0;427399.44;"2023-05-17";"Disputed";"Regular"
"PO00094";"2024-07-19";"V027";"Vendor A_27";"Chennai";3.0;"I0024";"Item_24";"Packaging";116;116;1548.89;"2024-07-28";"2024-08-01";13;0;0;0;179671.24;"2024-08-02";"Posted";"Consignment"
"PO00095";"2025-05-02";"V010";"Vendor J_10";"Lucknow";4.27;"I0128";"Item_128";"Finished Goods";478;478;680.4;"2025-05-08";"2025-05-11";9;0;0;0;325231.2;"2025-05-12";"Pending";"Spot"
"PO00096";"2024-04-28";"V016";"Vendor P_16";"Hyderabad";2.96;"I0117";"Item_117";"Chemicals";283;270;618.33;"2024-05-12";"2024-05-18";20;0;0;0;166949.1;"2024-05-20";"Disputed";"Regular"
"PO00097";"2025-06-03";"V005";"Vendor E_5";"Hyderabad";2.89;"I0071";"Item_71";"Finished Goods";396;396;1698.08;"2025-06-15";"2025-06-12";9;1;0;0;672439.68;"2025-06-14";"Pending";"Regular"
"PO00098";"2023-10-17";"V047";"Vendor U_47";"Delhi";3.28;"I0077";"Item_77";"Finished Goods";429;429;1412.25;"2023-10-28";"2023-10-23";6;1;0;0;605855.25;"2023-10-24";"Posted";"Spot"
"PO00099";"2024-07-05";"V031";"Vendor E_31";"Kolkata";4.02;"I0089";"Item_89";"Spare Parts";171;171;662.53;"2024-07-10";"2024-07-09";4;1;0;0;113292.63;"2024-07-10";"Pending";"Regular"
"PO00100";"2024-12-15";"V016";"Vendor P_16";"Hyderabad";2.96;"I0147";"Item_147";"Spare Parts";197;197;1395.42;"2025-01-06";"2025-01-06";22;1;0;0;274897.74;"2025-01-06";"Pending";"Consignment"
"PO00101";"2024-04-29";"V046";"Vendor T_46";"Ahmedabad";4.16;"I0098";"Item_98";"Chemicals";198;198;870.7;"2024-05-12";"2024-05-19";20;0;0;0;172398.6;"2024-05-21";"Posted";"Spot"
"PO00102";"2023-02-07";"V009";"Vendor I_9";"Delhi";4.0;"I0129";"Item_129";"Packaging";495;495;1638.94;"2023-02-18";"2023-02-17";10;1;0;0;811275.3;"2023-02-18";"Posted";"Consignment"
"PO00103";"2025-07-21";"V030";"Vendor D_30";"Pune";2.62;"I0004";"Item_4";"Finished Goods";370;328;1955.21;"2025-08-02";"2025-08-05";15;0;0;0;641308.88;"2025-08-05";"Pending";"Spot"
"PO00104";"2023-12-13";"V040";"Vendor N_40";"Kolkata";3.6;"I0178";"Item_178";"Finished Goods";204;204;723.18;"2023-12-24";"2023-12-13";0;1;0;0;147528.72;"2023-12-15";"Disputed";"Spot"
"PO00105";"2023-11-21";"V041";"Vendor O_41";"Kolkata";2.81;"I0184";"Item_184";"Packaging";455;455;1025.24;"2023-12-03";"2023-11-21";0;1;0;0;466484.2;"2023-11-21";"Disputed";"Regular"
"PO00106";"2023-08-29";"V041";"Vendor O_41";"Kolkata";2.81;"I0176";"Item_176";"Packaging";472;472;532.33;"2023-09-15";"2023-09-17";19;0;0;0;251259.76;"2023-09-17";"Pending";"Regular"
"PO00107";"2025-02-17";"V041";"Vendor O_41";"Kolkata";2.81;"I0181";"Item_181";"Chemicals";447;436;1597.25;"2025-02-27";"2025-02-27";10;1;0;0;696401.0;"2025-02-27";"Posted";"Spot"
"PO00108";"2025-03-26";"V004";"Vendor D_4";"Hyderabad";4.0;"I0076";"Item_76";"Spare Parts";184;184;846.37;"2025-03-31";"2025-04-01";6;0;0;0;155732.08;"2025-04-03";"Pending";"Consignment"
"PO00109";"2024-11-29";"V012";"Vendor L_12";"Mumbai";4.92;"I0044";"Item_44";"Packaging";90;65;1048.93;"2024-12-07";"2024-12-07";8;1;0;0;68180.45;"2024-12-07";"Pending";"Consignment"
"PO00110";"2023-05-27";"V015";"Vendor O_15";"Hyderabad";2.95;"I0119";"Item_119";"Chemicals";327;327;86.28;"2023-06-07";"2023-06-01";5;1;0;0;28213.56;"2023-06-01";"Pending";"Spot"
"PO00111";"2024-11-24";"V035";"Vendor I_35";"Kolkata";4.91;"I0041";"Item_41";"Electronics";38;38;219.7;"2024-12-04";"2024-12-09";15;0;0;0;8348.6;"2024-12-11";"Pending";"Consignment"
"PO00112";"2024-03-10";"V045";"Vendor S_45";"Jaipur";3.15;"I0065";"Item_65";"Finished Goods";234;234;1338.73;"2024-03-23";"2024-04-01";22;0;0;0;313262.82;"2024-04-02";"Pending";"Regular"
"PO00113";"2023-08-31";"V025";"Vendor Y_25";"Jaipur";3.64;"I0147";"Item_147";"Spare Parts";184;184;1274.38;"2023-09-22";"2023-09-28";28;0;0;0;234485.92;"2023-09-29";"Posted";"Consignment"
"PO00114";"2024-02-10";"V018";"Vendor R_18";"Lucknow";3.81;"I0003";"Item_3";"Chemicals";290;290;2018.0;"2024-02-18";"2024-02-17";7;1;0;0;585220.0;"2024-02-17";"Disputed";"Consignment"
"PO00115";"2024-05-23";"V019";"Vendor S_19";"Mumbai";3.58;"I0199";"Item_199";"Spare Parts";410;410;1802.56;"2024-06-10";"2024-06-02";10;1;0;0;739049.6;"2024-06-02";"Disputed";"Regular"
"PO00116";"2024-09-27";"V017";"Vendor Q_17";"Ahmedabad";3.26;"I0174";"Item_174";"Raw Material";387;387;757.5;"2024-10-05";"2024-10-08";11;0;0;0;293152.5;"2024-10-08";"Disputed";"Regular"
"PO00117";"2025-07-14";"V041";"Vendor O_41";"Kolkata";2.81;"I0166";"Item_166";"Finished Goods";21;21;424.53;"2025-07-26";"2025-07-22";8;1;0;0;8915.13;"2025-07-24";"Pending";"Consignment"
"PO00118";"2023-05-15";"V006";"Vendor F_6";"Bengaluru";2.89;"I0076";"Item_76";"Spare Parts";168;168;772.4;"2023-05-27";"2023-05-22";7;1;0;0;129763.2;"2023-05-22";"Disputed";"Spot"
"PO00119";"2024-06-27";"V033";"Vendor G_33";"Bengaluru";2.66;"I0070";"Item_70";"Chemicals";426;395;977.14;"2024-07-02";"2024-07-06";9;0;0;0;385970.3;"2024-07-07";"Disputed";"Spot"
"PO00120";"2025-04-03";"V008";"Vendor H_8";"Ahmedabad";4.67;"I0120";"Item_120";"Raw Material";494;445;1357.49;"2025-04-12";"2025-04-07";4;1;0;0;604083.05;"2025-04-09";"Disputed";"Consignment"
"PO00121";"2024-02-11";"V036";"Vendor J_36";"Delhi";4.52;"I0094";"Item_94";"Chemicals";47;47;694.49;"2024-02-22";"2024-02-24";13;0;4;1;32641.03;"2024-02-24";"Pending";"Spot"
